Date,Day,Class 1 (9am) ID,Class 1 Name,Class 1 Instructor,Class 1 Location,Class 1 Capacity,Class 2 (10am) ID,Class 2 Name,Class 2 Instructor,Class 2 Location,Class 2 Capacity,Class 3 (11am) ID,Class 3 Name,Class 3 Instructor,Class 3 Location,Class 3 Capacity,Class 4 (12pm) ID,Class 4 Name,Class 4 Instructor,Class 4 Location,Class 4 Capacity,Training 1 (2pm) ID,Training 1 Name,Training 1 Instructor,Training 1 Location,Training 1 Capacity,Training 2 (3pm) ID,Training 2 Name,Training 2 Instructor,Training 2 Location,Training 2 Capacity,Training 3 (4pm) ID,Training 3 Name,Training 3 Instructor,Training 3 Location,Training 3 Capacity,Training 4 (5pm) ID,Training 4 Name,Training 4 Instructor,Training 4 Location,Training 4 Capacity
1-Jun-26,Monday,S0908,Space Propulsion: Beyond Chemical Rockets,TBD,TBD,TBD,S1007,Soft Robotics: Flexible Machines,TBD,TBD,TBD,S0707,Dental Technology: From Extraction to Implants,TBD,TBD,TBD,S0407,Irrigation: From Ancient Channels to Drip Systems,TBD,TBD,TBD,T0501,Python Fundamentals for AECO Professionals,Industry Expert,TBD,TBD,T0207,COBIE and Data Handover,Industry Expert,TBD,TBD,T0608,Computational Fabrication,Industry Expert,TBD,TBD,T0206,IFC and Open Standards in BIM,Industry Expert,TBD,TBD
2-Jun-26,Tuesday,S0308,Battery Technology: From Volta to Lithium-Ion,TBD,TBD,TBD,S1005,Metamaterials: Engineering Impossible Properties,TBD,TBD,TBD,S0701,From Bloodletting to Modern Surgery,TBD,TBD,TBD,S0307,Geothermal Energy: Tapping Earth's Heat,TBD,TBD,TBD,T0107,AI-Driven Cost Estimation and Budgeting,Industry Expert,TBD,TBD,T0708,Building Codes and Compliance,Industry Expert,TBD,TBD,T0902,Talent Development and Leadership,Industry Expert,TBD,TBD,T0309,Citizen Engagement and Smart City Services,Industry Expert,TBD,TBD
3-Jun-26,Wednesday,S0103,The Wright Brothers' First Flight,TBD,TBD,TBD,S0301,From Candles to Electric Lighting,TBD,TBD,TBD,S0905,Mars Exploration: The Red Planet,TBD,TBD,TBD,S0209,The Burj Khalifa: Engineering at the Limit,TBD,TBD,TBD,T0706,COBie Data Standards,Industry Expert,TBD,TBD,T0607,Data-Driven Design,Industry Expert,TBD,TBD,T0306,Data Analytics for Smart Cities,Industry Expert,TBD,TBD,T0404,3D Printing and Additive Manufacturing,Industry Expert,TBD,TBD
4-Jun-26,Thursday,S0501,Iron to Steel: The Industrial Revolution,TBD,TBD,TBD,S0510,Biomaterials: Nature-Inspired Engineering,TBD,TBD,TBD,S0901,Rockets: From Fireworks to Reusable Launch Systems,TBD,TBD,TBD,S0504,Plastics: From Bakelite to Biodegradable Polymers,TBD,TBD,TBD,T0803,Value Engineering and Cost Optimization,Industry Expert,TBD,TBD,T0101,AI Fundamentals for AECO Professionals,Industry Expert,TBD,TBD,T0301,Smart City Fundamentals and Vision,Industry Expert,TBD,TBD,T1005,Autonomous Construction Robots,Industry Expert,TBD,TBD
5-Jun-26,Friday,S0309,The Grid: From Edison to Smart Grids,TBD,TBD,TBD,S0910,Space Tourism: Commercial Spaceflight,TBD,TBD,TBD,S1008,Energy Harvesting: Power from Everywhere,TBD,TBD,TBD,S0303,Hydroelectric Power: From Water Wheels to Dams,TBD,TBD,TBD,T0508,Testing and Debugging Python Code,Industry Expert,TBD,TBD,T0402,Robotics in Construction,Industry Expert,TBD,TBD,T10010,Drone and Robot Business Models,Industry Expert,TBD,TBD,T0506,Machine Learning with Python,Industry Expert,TBD,TBD
6-Jun-26,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Jun-26,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Jun-26,Monday,S0403,Sewage Systems: From Open Drains to Treatment Plants,TBD,TBD,TBD,S0808,Vertical Farming: Growing Food in Cities,TBD,TBD,TBD,S1009,Synthetic Biology: Designing Life,TBD,TBD,TBD,S1006,Holography: 3D Light Projection,TBD,TBD,TBD,T0604,Generative Design and Optimization,Industry Expert,TBD,TBD,T0909,Sustainability and Corporate Responsibility,Industry Expert,TBD,TBD,T0603,Advanced Grasshopper Techniques,Industry Expert,TBD,TBD,T0403,Drones and Aerial Technology,Industry Expert,TBD,TBD
9-Jun-26,Tuesday,S0609,Data Science: From Statistics to Big Data,TBD,TBD,TBD,S0509,Graphene & 2D Materials: The Future of Materials,TBD,TBD,TBD,S0601,From Telegraph to Internet,TBD,TBD,TBD,S0101,The Telephone to the Smartphone,TBD,TBD,TBD,T0703,ISO 19650 Part 2: Delivery Phase,Industry Expert,TBD,TBD,T1008,Safety and Compliance for Drones and Robots,Industry Expert,TBD,TBD,T0307,Cybersecurity for IoT and Smart Cities,Industry Expert,TBD,TBD,T0102,Machine Learning for Construction Analytics,Industry Expert,TBD,TBD
10-Jun-26,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jun-26,Thursday,S0207,The Sydney Opera House: Organic Architecture,TBD,TBD,TBD,S0401,Ancient Aqueducts to Modern Water Systems,TBD,TBD,TBD,S0408,Wastewater Recycling: From Waste to Resource,TBD,TBD,TBD,S0610,Virtual & Augmented Reality: Immersive Technology,TBD,TBD,TBD,T09010,Future-Ready Organizations,Industry Expert,TBD,TBD,T0201,BIM Fundamentals and Best Practices,Industry Expert,TBD,TBD,T0503,Python for BIM Automation,Industry Expert,TBD,TBD,T1002,Advanced Drone Surveying and Mapping,Industry Expert,TBD,TBD
