ClassID,Theme,Class Name,Instructor,Schedule,Location,Capacity,Status,Link to Class,Class Description,Equipment Requirements
S0101,Transportation & Mobility,The Telephone to the Smartphone,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring The Telephone to the Smartphone. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0102,Transportation & Mobility,Stephenson's Rocket to Tesla's Starship,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Stephenson's Rocket to Tesla's Starship. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0103,Transportation & Mobility,The Wright Brothers' First Flight,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring The Wright Brothers' First Flight. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0104,Transportation & Mobility,From Horse Carriages to Electric Vehicles,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring From Horse Carriages to Electric Vehicles. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0105,Transportation & Mobility,The Bicycle Revolution,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring The Bicycle Revolution. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0106,Transportation & Mobility,Maglev Trains & Hyperloop,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Maglev Trains & Hyperloop. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0107,Transportation & Mobility,The Panama Canal to Modern Waterway Engineering,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring The Panama Canal to Modern Waterway Engineering. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0108,Transportation & Mobility,From Sailing Ships to Container Vessels,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring From Sailing Ships to Container Vessels. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0109,Transportation & Mobility,The London Underground to Modern Metro Systems,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring The London Underground to Modern Metro Systems. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0110,Transportation & Mobility,Tunneling Through Mountains: From Blasting to Boring Machines,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Tunneling Through Mountains: From Blasting to Boring Machines. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0201,Architecture & Structures,The Eiffel Tower to Modern Skyscrapers,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring The Eiffel Tower to Modern Skyscrapers. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0202,Architecture & Structures,Roman Arches to Modern Suspension Bridges,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Roman Arches to Modern Suspension Bridges. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0203,Architecture & Structures,The Great Wall of China: Ancient Defense to Modern Barriers,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring The Great Wall of China: Ancient Defense to Modern Barriers. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0204,Architecture & Structures,Domes: From Pantheon to Geodesic Domes,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Domes: From Pantheon to Geodesic Domes. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0205,Architecture & Structures,The Crystal Palace to Modern Glass Architecture,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring The Crystal Palace to Modern Glass Architecture. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0206,Architecture & Structures,Pyramids: Ancient Engineering Marvels,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Pyramids: Ancient Engineering Marvels. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0207,Architecture & Structures,The Sydney Opera House: Organic Architecture,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring The Sydney Opera House: Organic Architecture. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0208,Architecture & Structures,Sustainable Architecture: From Vernacular to Green Buildings,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Sustainable Architecture: From Vernacular to Green Buildings. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0209,Architecture & Structures,The Burj Khalifa: Engineering at the Limit,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring The Burj Khalifa: Engineering at the Limit. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0210,Architecture & Structures,Floating Architecture: From Houseboats to Floating Cities,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Floating Architecture: From Houseboats to Floating Cities. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0301,Energy & Power,From Candles to Electric Lighting,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring From Candles to Electric Lighting. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0302,Energy & Power,Steam Engines to Internal Combustion,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Steam Engines to Internal Combustion. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0303,Energy & Power,Hydroelectric Power: From Water Wheels to Dams,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Hydroelectric Power: From Water Wheels to Dams. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0304,Energy & Power,Wind Power: From Windmills to Modern Turbines,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Wind Power: From Windmills to Modern Turbines. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0305,Energy & Power,Solar Energy: From Photovoltaic Cells to Solar Cities,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Solar Energy: From Photovoltaic Cells to Solar Cities. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0306,Energy & Power,Nuclear Energy: From Discovery to Modern Reactors,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Nuclear Energy: From Discovery to Modern Reactors. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0307,Energy & Power,Geothermal Energy: Tapping Earth's Heat,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Geothermal Energy: Tapping Earth's Heat. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0308,Energy & Power,Battery Technology: From Volta to Lithium-Ion,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Battery Technology: From Volta to Lithium-Ion. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0309,Energy & Power,The Grid: From Edison to Smart Grids,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring The Grid: From Edison to Smart Grids. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0310,Energy & Power,Fusion Energy: The Future of Power,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Fusion Energy: The Future of Power. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0401,Water & Sanitation,Ancient Aqueducts to Modern Water Systems,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Ancient Aqueducts to Modern Water Systems. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0402,Water & Sanitation,Water Purification: From Boiling to Nanotechnology,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Water Purification: From Boiling to Nanotechnology. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0403,Water & Sanitation,Sewage Systems: From Open Drains to Treatment Plants,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Sewage Systems: From Open Drains to Treatment Plants. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0404,Water & Sanitation,Desalination: Creating Fresh Water from the Sea,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Desalination: Creating Fresh Water from the Sea. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0405,Water & Sanitation,Dams & Reservoirs: Water Storage Engineering,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Dams & Reservoirs: Water Storage Engineering. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0406,Water & Sanitation,Flood Management: From Levees to Smart Systems,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Flood Management: From Levees to Smart Systems. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0407,Water & Sanitation,Irrigation: From Ancient Channels to Drip Systems,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Irrigation: From Ancient Channels to Drip Systems. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0408,Water & Sanitation,Wastewater Recycling: From Waste to Resource,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Wastewater Recycling: From Waste to Resource. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0409,Water & Sanitation,Stormwater Management: Urban Water Solutions,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Stormwater Management: Urban Water Solutions. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0410,Water & Sanitation,Water Quality Monitoring: From Testing to IoT,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Water Quality Monitoring: From Testing to IoT. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0501,Materials & Manufacturing,Iron to Steel: The Industrial Revolution,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Iron to Steel: The Industrial Revolution. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0502,Materials & Manufacturing,Concrete: From Roman Concrete to High-Performance Mixes,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Concrete: From Roman Concrete to High-Performance Mixes. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0503,Materials & Manufacturing,Glass: From Sand to Smart Glass,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Glass: From Sand to Smart Glass. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
S0504,Materials & Manufacturing,Plastics: From Bakelite to Biodegradable Polymers,TBD,TBD,TBD,TBD,Active,TBD,"Comprehensive STEM class exploring Plastics: From Bakelite to Biodegradable Polymers. Students engage in hands-on projects, design challenges, and real-world applications. Learn cutting-edge technologies and engineering principles through interactive learning experiences.","Design software, testing equipment, educational materials, analysis tools, simulation software, prototyping materials"
