Brand Name,Region,Country,Furniture Types,Executive Contact,Website,BIM on Website,BIMobject Library,NBS BIM Library,Other BIM Repositories,Notes
Tecno,Europe,Italy,"Office Systems, Architectural Partitions, Seating",Giuliano Mosconi (CEO),https://www.tecnospa.com,Yes,Yes,Yes,Archiproducts,"Known for innovative office systems, architectural partitions"
B&B Italia,Europe,Italy,"Residential, Outdoor",Gilberto Negrini (CEO),https://www.bebitalia.com,Yes,Yes,Yes,Archiproducts,"Contemporary high-end furniture with iconic designs"
Cassina,Europe,Italy,"Residential, Classic Reproductions",Luca Fuso (CEO),https://www.cassina.com,Yes,Yes,Yes,Archiproducts,"Historic brand with modernist classics and contemporary pieces"
Poltrona Frau,Europe,Italy,"Residential, Leather Upholstery, Office",Nicola Coropulis (CEO),https://www.poltronafrau.com,Yes,Yes,Yes,Archiproducts,"Luxury leather furniture with heritage craftsmanship"
Molteni&C,Europe,Italy,"Residential, Office, Storage Systems",Carlo Molteni (President),https://www.molteni.it,Yes,Yes,Yes,Archiproducts,"Modern furniture with architectural influence"
Minotti,Europe,Italy,"Residential, Upholstery",Roberto Minotti (CEO),https://www.minotti.com,Yes,Yes,Yes,Archiproducts,"Sophisticated contemporary furniture with timeless elegance"
Flexform,Europe,Italy,"Residential, Upholstery",Giuliano Galimberti (CEO),https://www.flexform.it,Yes,Yes,Yes,Archiproducts,"Refined upholstered furniture with comfort focus"
Giorgetti,Europe,Italy,"Residential, Bespoke",Giovanni del Vecchio (CEO),https://www.giorgetti.eu,Yes,Yes,Yes,Archiproducts,"Artisanal woodworking with distinctive design language"
Moroso,Europe,Italy,"Residential, Contract, Upholstery",Roberto Moroso (CEO),https://www.moroso.it,Yes,Yes,Yes,Archiproducts,"Experimental and artistic upholstered furniture"
Kartell,Europe,Italy,"Residential, Plastic, Lighting",Claudio Luti (President),https://www.kartell.com,Yes,Yes,Yes,Archiproducts,"Innovative plastic furniture with bold designs"
Fritz Hansen,Europe,Denmark,"Residential, Contract, Seating",Josef Kaiser (CEO),https://www.fritzhansen.com,Yes,Yes,Yes,BIMscript,"Danish design classics and contemporary collections"
Carl Hansen & Søn,Europe,Denmark,"Residential, Wooden Furniture",Knud Erik Hansen (CEO),https://www.carlhansen.com,Yes,Yes,Yes,BIMscript,"Craftsmanship-focused with Hans Wegner classics"
Artek,Europe,Finland,"Residential, Contract",Marianne Goebl (CEO),https://www.artek.fi,Yes,Yes,Yes,BIMscript,"Finnish brand with Alvar Aalto's functional designs"
Muuto,Europe,Denmark,"Residential, Accessories",Anders Cleemann (CEO),https://www.muuto.com,Yes,Yes,Yes,BIMscript,"Modern Scandinavian design with fresh perspective"
Hay,Europe,Denmark,"Residential, Accessories, Office",Rolf Hay (Co-founder),https://www.hay.dk,Yes,Yes,Yes,BIMscript,"Accessible contemporary Danish design"
&Tradition,Europe,Denmark,"Residential, Lighting",Martin Kornbek Hansen (CEO),https://www.andtradition.com,Yes,Yes,Yes,BIMscript,"Blending tradition with innovation in Nordic design"
Fredericia,Europe,Denmark,"Residential, Contract",Thomas Graversen (Owner),https://www.fredericia.com,Yes,Yes,Yes,BIMscript,"Danish craftsmanship with design heritage"
Vitra,Europe,Switzerland,"Office, Residential, Public Space",Nora Fehlbaum (CEO),https://www.vitra.com,Yes,Yes,Yes,3Dwarehouse,"Swiss brand with design classics and contemporary pieces"
Knoll,North America,USA,"Office, Residential, Textiles",Andrew Cogan (CEO),https://www.knoll.com,Yes,Yes,Yes,Revit City,"Modernist furniture with architectural influence"
USM,Europe,Switzerland,"Modular Systems, Office, Residential",Alexander Schärer (CEO),https://www.usm.com,Yes,Yes,Yes,3Dwarehouse,"Swiss modular furniture systems"
Ligne Roset,Europe,France,"Residential, Upholstery",Michel Roset (CEO),https://www.ligne-roset.com,Yes,Yes,Yes,BIMobject,"French contemporary design with creative forms"
Herman Miller,North America,USA,"Office, Residential, Healthcare",Andi Owen (CEO),https://www.hermanmiller.com,Yes,Yes,Yes,Revit City,"Iconic office and residential modern classics"
Bernhardt Design,North America,USA,"Contract, Residential",Jerry Epperson (CEO),https://www.bernhardtdesign.com,Yes,Yes,Yes,Revit City,"Contemporary American design with global collaborations"
Restoration Hardware,North America,USA,"Residential, Outdoor, Lighting",Gary Friedman (CEO),https://www.rh.com,Yes,No,No,3Dwarehouse,"Luxury reproductions and contemporary designs"
Room & Board,North America,USA,"Residential, Office",John Gabbert (Founder),https://www.roomandboard.com,Yes,No,No,3Dwarehouse,"Modern American-made furniture"
Rove Concepts,North America,Canada,"Residential, Reproductions",Art Lee (Founder),https://www.roveconcepts.com,No,No,No,None,"Contemporary reproductions and original designs"
Stellar Works,Asia,China,"Residential, Hospitality",Yuichiro Hori (CEO),https://www.stellarworks.com,Yes,Yes,No,Archiproducts,"Chinese-owned with Japanese-French design influence"
Maruni,Asia,Japan,"Residential, Wooden Furniture",Takeshi Yamanaka (President),https://www.maruni.com,Yes,Yes,No,None,"Japanese woodworking with minimalist aesthetic"
Karimoku New Standard,Asia,Japan,"Residential, Wooden Furniture",Hiroshi Kato (Director),https://www.karimoku-newstandard.jp,Yes,No,No,None,"Contemporary Japanese wooden furniture"
Conde House,Asia,Japan,"Residential, Contract",Tetsuya Fujita (President),https://www.condehouse.com,Yes,No,No,None,"Japanese craftsmanship with international designers"
Schiavello,Asia/Oceania,Australia,"Office, Commercial",Peter Schiavello (Managing Director),https://www.schiavello.com,Yes,Yes,Yes,BIMsmith,"Australian commercial furniture with Asian presence"
Steelcase,North America,USA,"Office, Education, Healthcare",Sara Armbruster (CEO),https://www.steelcase.com,Yes,Yes,Yes,Revit City,"Comprehensive office furniture and architectural solutions"
Haworth,North America,USA,"Office, Architectural Products",Franco Bianchi (CEO),https://www.haworth.com,Yes,Yes,Yes,Revit City,"Workspace furniture with research-based approach"
Teknion,North America,Canada,"Office Systems, Architectural Products",David Feldberg (CEO),https://www.teknion.com,Yes,Yes,Yes,Revit City,"Integrated office furniture systems"
Humanscale,North America,USA,"Ergonomic Office, Healthcare",Robert King (Founder),https://www.humanscale.com,Yes,Yes,Yes,BIMsmith,"Ergonomic office tools and seating"
Okamura,Asia,Japan,"Office, Healthcare, Education",Masayuki Nakamura (President),https://www.okamura.com,Yes,Yes,Yes,BIMsmith,"Japanese technical office furniture"
